borocode,large_n,small_n
2,central bronx,Allerton
4,northeast queens,Alley Pond Park
5,south shore staten island,Annadale-Huguenot-Prince's Bay-Woodrow
5,south shore staten island,Arden Heights-Rossville
4,western queens,Astoria (Central)
4,western queens,Astoria (East)-Woodside (North)
4,western queens,Astoria (North)-Ditmars-Steinway
4,western queens,Astoria Park
4,northeast queens,Auburndale
4,southeast queens,Baisley Park
3,south brooklyn,Barren Island-Floyd Bennett Field
3,south brooklyn,Bath Beach
3,south brooklyn,Bay Ridge
4,northeast queens,Bay Terrace-Clearview
4,northeast queens,Bayside
2,west bronx,Bedford Park
3,north brooklyn,Bedford-Stuyvesant (East)
3,north brooklyn,Bedford-Stuyvesant (West)
4,southeast queens,Bellerose
2,west bronx,Belmont
3,south brooklyn,Bensonhurst
3,central brooklyn,Borough Park
4,rockaways queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
3,south brooklyn,Brighton Beach
2,east bronx,Bronx Park
3,central brooklyn,Brooklyn Heights
3,north brooklyn,Brooklyn Navy Yard
3,east brooklyn,Brownsville
3,north brooklyn,Bushwick (East)
3,north brooklyn,Bushwick (West)
4,western queens,Calvary & Mount Zion Cemeteries
3,south brooklyn,Calvert Vaux Park
4,southeast queens,Cambria Heights
3,east brooklyn,Canarsie
3,south brooklyn,Canarsie Park & Pier
3,south brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
2,central bronx,Castle Hill-Unionport
1,way uptown manhattan,Central Park
1,midtown manhattan,Chelsea-Hudson Yards
1,downtown manhattan,Chinatown-Two Bridges
2,south bronx,Claremont Park
2,south bronx,Claremont Village-Claremont (East)
3,central brooklyn,Clinton Hill
2,central bronx,Co-op City
4,northeast queens,College Point
2,south bronx,Concourse-Concourse Village
3,south brooklyn,Coney Island-Sea Gate
4,northwest queens,Corona
2,south bronx,Crotona Park
2,south bronx,Crotona Park East
3,central brooklyn,Crown Heights (North)
3,central brooklyn,Crown Heights (South)
4,northeast queens,Cunningham Park
3,east brooklyn,Cypress Hills
4,northeast queens,Douglaston-Little Neck
3,central brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill
3,south brooklyn,Dyker Beach Park
3,south brooklyn,Dyker Heights
4,northwest queens,East Elmhurst
3,central brooklyn,East Flatbush-Erasmus
3,central brooklyn,East Flatbush-Farragut
3,central brooklyn,East Flatbush-Remsen Village
3,central brooklyn,East Flatbush-Rugby
4,northeast queens,East Flushing
1,uptown manhattan,East Harlem (North)
1,uptown manhattan,East Harlem (South)
1,midtown manhattan,East Midtown-Turtle Bay
3,east brooklyn,East New York (North)
3,east brooklyn,East New York-City Line
3,east brooklyn,East New York-New Lots
1,downtown manhattan,East Village
3,north brooklyn,East Williamsburg
2,central bronx,Eastchester-Edenwald-Baychester
4,northwest queens,Elmhurst
4,rockaways queens,Far Rockaway-Bayswater
2,central bronx,Ferry Point Park-St. Raymond Cemetery
1,downtown manhattan,Financial District-Battery Park City
3,central brooklyn,Flatbush
3,central brooklyn,Flatbush (West)-Ditmas Park-Parkville
3,south brooklyn,Flatlands
4,special queens,Flushing Meadows-Corona Park
4,northeast queens,Flushing-Willets Point
2,west bronx,Fordham Heights
4,central queens,Forest Hills
4,special queens,Forest Park
3,central brooklyn,Fort Greene
3,south brooklyn,Fort Hamilton
4,northeast queens,Fort Totten
5,east shore staten island,Fort Wadsworth
4,northeast queens,Fresh Meadows-Utopia
